display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,24.788894139885624
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,24.84188379870743
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,22.54406491656552
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2023,000000,,0,0,24.09933864915303
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,22.315879976651434
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,2023,000000,,0,0,24.230829747171143
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,22.948113995856623
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,23.313614487312854
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,24.459941922112108
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,26.253163520047874
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,22.2374139621199
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,23.068746969939742
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2023,000000,,0,0,25.04423534798303
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,23.390814673339086
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,27.212310027169078
0,0,Total - All Industries,,,18,000,00000,Indiana,2023,000000,,0,0,22.03720829732012
0,0,Total - All Industries,,,0,000,00000,United States,2023,000000,,0,0,24.02873642873644
