geo_area,geo_type,jobs_growth,gdp_growth,total_jobs,total_jobs_start,total_jobs_end,total_grp,total_grp_start,total_grp_end,gdp_per_job
Bloomington MSA,Metro,0.9063524474018259,3.2090536713141438,80578.38536886511,79854.62105655557,80578.38536886511,9625443261.799925,9326161726.522268,9625443261.799925,119454.40725496499
Chicago-Naperville-Elgin MSA,Metro,1.6618805524766245,5.120985696455538,4630034.1588157,4554346.362327748,4630034.1588157,794939206316.4198,756213615245.0704,794939206316.4198,171691.86642021546
Cincinnati MSA,Metro,1.5274613277798998,5.9567998282559875,1134997.9463135134,1117922.118282057,1134997.9463135134,168060024262.3143,158611834761.6393,168060024262.3143,148070.7738795257
Columbus MSA,Metro,1.2152786599274545,6.712797379121449,52253.367314927615,51625.96794352892,52253.367314927615,6999256644.540852,6558966512.399074,6999256644.540852,133948.4324973124
Elkhart-Goshen MSA,Metro,-6.833012431288821,-8.88108614617672,135404.9922110905,145335.80589501033,135404.9922110905,16261725940.15916,17846707398.473705,16261725940.15916,120096.94527959381
Evansville MSA,Metro,0.8833829246221558,3.615495999671059,139299.5278898196,138079.7549125619,139299.5278898196,17999549134.01715,17371483831.02301,17999549134.01715,129214.71742714073
Fort Wayne MSA,Metro,1.2802002891684872,5.520921202544171,233459.33787617352,230508.36906879724,233459.33787617352,29217954814.62288,27689252976.231995,29217954814.62288,125152.22171203123
Indiana,State,1.3901769413995124,4.982696209615645,3317198.5246516163,3271715.884832569,3317198.5246516163,430925489280.0227,410472872995.76245,430925489280.0227,129906.45150648015
Indianapolis-Carmel-Greenwood MSA,Metro,2.2861485041824725,6.750096222255553,1128980.8554619208,1103747.547416703,1128980.8554619208,168688323805.26556,158021706560.389,168688323805.26556,149416.46086305598
Kokomo MSA,Metro,1.2906669245694058,8.56906455933597,36729.36368828204,36261.35043185587,36729.36368828204,4413319459.07456,4064988011.997248,4413319459.07456,120157.79790060899
Lafayette-West Lafayette MSA,Metro,2.9036389135646434,9.765695548216557,111870.31771117378,108713.66541774177,111870.31771117378,13387130087.892492,12196096440.724464,13387130087.892492,119666.5063779949
Louisville/Jefferson County MSA,Metro,1.798542397786429,6.783153187310642,708554.7031614019,696036.1970534553,708554.7031614019,95730742395.78207,89649668078.12718,95730742395.78207,135107.05943895984
Michigan City-La Porte MSA,Metro,2.7346057850815786,7.771433702613795,42483.335671123095,41352.50760585703,42483.335671123095,5123624229.72029,4754157993.164033,5123624229.72029,120603.1529488146
Muncie MSA,Metro,0.6403241365951606,5.250630293953096,47748.75896227195,47444.95744813424,47748.75896227195,4707592674.856232,4472745352.411153,4707592674.856232,98590.89067793099
South Bend-Mishawaka MSA,Metro,2.3011209807899613,5.319157755407944,144565.2316472823,141313.43846606396,144565.2316472823,16421286126.233496,15591926935.430029,16421286126.233496,113590.84019800139
Terre Haute MSA,Metro,0.528728753446206,4.9087831150785854,67738.85325702002,67382.58217027127,67738.85325702002,7804339025.091804,7439166477.158463,7804339025.091804,115212.15151782942
United States,US,2.016964913475938,6.16037606649793,161340878.6811848,158151027.93738618,161340878.6811848,24670590318228.94,23238981654299.62,24670590318228.94,152909.73075074723
