geo_area,total_jobs,avg_growth
Chicago-Naperville-Elgin MSA,2589992.0168420654,NA
Cincinnati MSA,677924.1357537865,NA
Indianapolis-Carmel-Greenwood MSA,676482.7713846571,NA
Louisville/Jefferson County MSA,479461.0718553814,NA
Elkhart-Goshen MSA,161260.90447046937,NA
Fort Wayne MSA,149111.82965280281,NA
Evansville MSA,78727.99169478944,NA
Lafayette-West Lafayette MSA,69366.4660421982,NA
South Bend-Mishawaka MSA,67691.12594128563,NA
Columbus MSA,49469.037137580446,NA
Bloomington MSA,44156.99276612374,NA
Terre Haute MSA,33449.18091402458,NA
Michigan City-La Porte MSA,28317.27755325849,NA
Kokomo MSA,24418.825117071436,NA
Muncie MSA,17334.43636959026,NA
