initiative,naics_title,job_change,growth_rate,current_jobs
Conexus,NA,3866.579042901977,NA,841356.8738149904
Advanced & Traded Industries,Warehousing and Storage,2235.202632909706,NA,64822.95039782071
Conexus,Warehousing and Storage,2235.202632909699,NA,64822.9503978207
Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",2134.7717293900023,NA,29622.18556171
Advanced & Traded Industries,"Machinery, Equipment, and Supplies Merchant Wholesalers",1423.3406075560051,NA,22391.614752627003
Conexus,"Machinery, Equipment, and Supplies Merchant Wholesalers",1423.3406075560015,NA,22391.614752627
Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",1154.261901509999,NA,33449.21862277
Advanced & Traded Industries,"Architectural, Engineering, and Related Services",1039.1883565203061,NA,23671.142356694003
Advanced & Traded Industries,Other General Purpose Machinery Manufacturing,755.7648605300001,NA,13859.263198924002
Advanced & Traded Industries,Professional and Commercial Equipment and Supplies Merchant Wholesalers,707.5943833597976,NA,15966.705026004998
Conexus,Professional and Commercial Equipment and Supplies Merchant Wholesalers,707.5943833597976,NA,15966.705026004998
BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",664.2734297482903,NA,7730.4276872439395
Conexus,"Coating, Engraving, Heat Treating, and Allied Activities",626.3333334360013,NA,7598.749999923
Advanced & Traded Industries,"Coating, Engraving, Heat Treating, and Allied Activities",626.3333334360004,NA,7598.749999923
Advanced & Traded Industries,"Other Professional, Scientific, and Technical Services",597.223143692001,NA,14095.637342079
Advanced & Traded Industries,"Engine, Turbine, and Power Transmission Equipment Manufacturing",572.7967640569004,NA,12864.312480289
Conexus,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,526.3715970279991,NA,8173.259572875999
Advanced & Traded Industries,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,526.3715970279982,NA,8173.259572875999
Advanced & Traded Industries,Animal Slaughtering and Processing,503.00000006400114,NA,11451.416667084
Conexus,Animal Slaughtering and Processing,503.00000006400114,NA,11451.416667084
